Age,Author,Author_Info,Binding,Brand,Dimensions (L X B X H),Edition,Editor,Exam,Group,Image,Imprint,ISBN_10,ISBN_13,Language,Model,Name,Pages,Price,Product_Code_1,Product_Code_2,Publication_Month,Publication_Year,Publisher,Series_Name,Type,Unique_Id,University,Weight_Gram
,['Tsutomu Nihei'],,Paperback,Vertical,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781935654995_44120/0x1920/70/6.jpg,Vertical,1935654993,9781935654995,English,19855,"Knights Of Sidonia, Volume 5",,798,9781935654995_44120,13607449,,2013,Vertical,,Bestseller Books,6808d4786b050768f74f52fc31f9e636,,500
,['Danielle Steel'],,Paperback,Transworld Publishers,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552159111_97246/0x1920/70/0.jpg,Corgi,552159115,9780552159111,English,6216,First Sight,512,399,9780552159111_97246,23079978,April,2014,Transworld Publishers,,Bestseller Books,fb9afd0660ee31450d97837acc26f264,,381
,['Robin Cook'],,Paperback,Macmillian India Ltd,,1,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780330327411_23843/0x1920/70/0.jpg,,330327410,9780330327411,English,6645,Blindsight,432,350,9780330327411_23843,9893973,,1993,AVON BOOKS,,Bestseller Books,333af984cfae18727bd5e71b81171049,,500
,['Chuck Palahniuk'],,Paperback,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780099552598_21345/0x1920/70/0.jpg,Vintage,99552590,9780099552598,English,439730,Damned,256,399,9780099552598_21345,51085596,,2012,Vintage Books,,Bestseller Books,71a1dfee8a13d2f6475d849b06a6b73f,,186
,['Yusuke Kishi'],,Paperback,Vertical,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781939130136_44120/0x1920/70/0.jpg,Vertical,1939130131,9781939130136,English,19855,"From The New World, Volume 1",,598,9781939130136_44120,13607450,,2013,Vertical,,Bestseller Books,a509e97748b10d2fdb210d76da0d3ae7,,500
,['Tsutomu Nihei'],,Paperback,Vertical,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781935654896_44120/0x1920/70/6.jpg,Vertical,1935654896,9781935654896,English,19855,"Knights Of Sidonia, Volume 4",,692,9781935654896_44120,13630334,,2013,Vertical,,Bestseller Books,55d44872bba01541bf23e16b9c5723f4,,500
,['Danielle Steel'],,Others,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552148566_193994/0x1920/70/0.jpg,Corgi,552148563,9780552148566,English,439730,second Chance,272,499,9780552148566_193994,46784472,,2005,CORGI,,Bestseller Books,2632662cda38261d82459f5135b8fd97,,164
,['Yusuke Kishi'],,Paperback,Vertical,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781939130143_44120/0x1920/70/6.jpg,Vertical,193913014,9781939130143,English,19855,"From The New World, Volume 2",,598,9781939130143_44120,13586622,,2014,Vertical,,Bestseller Books,536d71b8ea28ad0683d8f5309c2764a6,,500
9 - 12 Years,,,Paperback,Rupa Publication,,1,Ruskin Bond,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9788129116918_23843/0x1920/70/0.jpg,,812911691,9788129116918,English,4137,When The Tiger Was King,104,140,9788129116918_23843,8415883,,2010,Edinburgh University Press,,Bestseller Books,c23cc8cd1e308df8a9686cfef8d0f329,,500
,['Michael Crichton'],,Paperback,,,1,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007355228_20038/0x1920/70/3.jpg,,735522,9780007355228,English,439730,Pirate Latitudes,320,250,9780007355228_20038,990622,,2009,HarperCollins Publisher,,Bestseller Books,546a56565d6b929f100d3d7e4dc3ddf3,,500
,['Anita Nair'],,Paperback,Harper Collins Publishers India,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9789350293805_225808/0x1920/70/0.jpg,HarperCollins India,9350293803,9789350293805,English,5789,Cut Like Wound,,325,9789350293805_225808,44859507,,2012,Harper Collins Publishers India,,Bestseller Books,75acd254ee323b292ec4524cf3e780b7,,500
,['Danielle Steel'],,Paperback,,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552135221_20567/0x1920/70/3.jpg,Corgi,552135224,9780552135221,English,439730,Daddy,384,299,9780552135221_20567,2204360,,1991,CORGI BOOKS,,Bestseller Books,8854bbce1dfda2adf8e0350cd60f7075,,202
